loc;dish;con1;con2;con3;con4;con5;con6;con7;con8;con9;con10;con11;con12;con13;con14;con15;con16
os;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
os;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
os;3;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0
ka;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ka;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ka;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
no;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
st;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
st;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
st;10;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
ry;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
ry;12;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ry;13;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
kr;14;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
kr;15;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kr;16;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
mr;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mr;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mr;19;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
la;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
la;21;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0
la;22;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
