depth,dish,succ,fail,sum,con1,con2,con3,con4,con5,con6,con7,con8,con9,con10,con11,con12,con13,con14,con15,con16
0,1,1,24,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,7,18,25,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,23,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,4,4,21,25,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
1,5,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,3,22,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
3,7,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
