depth;dish;con1;con2;con3;con4;con5;con6;con7;con8;con9;con10;con11;con12;con13;con14;con15;con16
a;1;0;0;3;2;2;6;0;0;0;0;0;0;0;0;0;0
a;2;0;0;2;0;4;7;0;1;1;0;0;0;0;0;0;0
a;3;0;0;0;0;1;3;2;4;0;2;0;0;0;0;0;0
b;4;0;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0
b;5;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0
b;6;0;0;4;5;1;0;0;0;0;0;0;0;0;0;0;0
c;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
c;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
c;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
d;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
d;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
d;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
